pdb,execution_time
pdb4nf8_A_hinge_3_sigma0.8948929172439201.pdb,0.314003
pdb4nf8_A_hinge_1_sigma0.8948929172439201.pdb,0.382733
pdb4kf9_A_hinge_4_sigma0.8948929172439201.pdb,0.708583
pdb4kf9_A_hinge_3_sigma0.8948929172439201.pdb,0.668564
pdb4kf9_A_hinge_2_sigma0.8948929172439201.pdb,0.804305
pdb4kf9_A_hinge_0_sigma0.8948929172439201.pdb,0.628536
pdb4kf9_A_hinge_1_sigma0.8948929172439201.pdb,0.656953
pdb4kf9_A_hinge_5_sigma0.8948929172439201.pdb,0.676775
pdb5sua_A_hinge_4_sigma0.8948929172439201.pdb,0.33964
pdb5sua_A_hinge_0_sigma0.8948929172439201.pdb,0.406825
pdb5sua_A_hinge_2_sigma0.8948929172439201.pdb,0.355896
pdb5sua_A_hinge_3_sigma0.8948929172439201.pdb,0.334251
pdb5sua_A_hinge_1_sigma0.8948929172439201.pdb,0.35058
pdb5sua_A_hinge_5_sigma0.8948929172439201.pdb,0.330094
pdb5st9_A_hinge_3_sigma0.8948929172439201.pdb,0.353307
pdb5st9_A_hinge_4_sigma0.8948929172439201.pdb,0.376136
pdb5st9_A_hinge_2_sigma0.8948929172439201.pdb,0.405462
pdb5st9_A_hinge_0_sigma0.8948929172439201.pdb,0.397522
pdb5st9_A_hinge_5_sigma0.8948929172439201.pdb,0.3808
pdb5st9_A_hinge_1_sigma0.8948929172439201.pdb,0.351285
pdb2blu_A_hinge_2_sigma0.8948929172439201.pdb,0.2214
pdb2blu_A_hinge_1_sigma0.8948929172439201.pdb,0.190315
pdb2blu_A_hinge_3_sigma0.8948929172439201.pdb,0.168989
pdb2blu_A_hinge_5_sigma0.8948929172439201.pdb,0.214468
pdb2blu_A_hinge_4_sigma0.8948929172439201.pdb,0.220706
pdb2blu_A_hinge_0_sigma0.8948929172439201.pdb,0.198663
pdb4b5n_A_hinge_5_sigma0.8948929172439201.pdb,0.494857
pdb4b5n_A_hinge_2_sigma0.8948929172439201.pdb,0.586914
pdb4b5n_A_hinge_4_sigma0.8948929172439201.pdb,0.512433
pdb4b5n_A_hinge_0_sigma0.8948929172439201.pdb,0.542168
pdb4b5n_A_hinge_3_sigma0.8948929172439201.pdb,0.529205
pdb4b5n_A_hinge_1_sigma0.8948929172439201.pdb,0.57565
pdb4o04_A_hinge_2_sigma0.8948929172439201.pdb,0.200571
pdb4o04_A_hinge_5_sigma0.8948929172439201.pdb,0.204455
pdb4o04_A_hinge_1_sigma0.8948929172439201.pdb,0.227328
pdb4o04_A_hinge_4_sigma0.8948929172439201.pdb,0.214211
pdb4o04_A_hinge_3_sigma0.8948929172439201.pdb,0.216588
pdb4o04_A_hinge_0_sigma0.8948929172439201.pdb,0.238994
pdb4u6q_A_hinge_2_sigma0.8948929172439201.pdb,0.465618
pdb4u6q_A_hinge_5_sigma0.8948929172439201.pdb,0.481769
pdb4u6q_A_hinge_0_sigma0.8948929172439201.pdb,0.534
pdb4u6q_A_hinge_1_sigma0.8948929172439201.pdb,0.58076
pdb4u6q_A_hinge_4_sigma0.8948929172439201.pdb,0.564093
pdb4u6q_A_hinge_3_sigma0.8948929172439201.pdb,0.500891
pdb4aj3_A_hinge_1_sigma0.8948929172439201.pdb,0.862322
pdb4aj3_A_hinge_3_sigma0.8948929172439201.pdb,0.889467
pdb4aj3_A_hinge_5_sigma0.8948929172439201.pdb,0.832731
pdb4aj3_A_hinge_2_sigma0.8948929172439201.pdb,0.886641
pdb4aj3_A_hinge_4_sigma0.8948929172439201.pdb,0.780928
pdb4aj3_A_hinge_0_sigma0.8948929172439201.pdb,0.840545
pdb1sh4_A_hinge_1_sigma0.8948929172439201.pdb,0.031256
pdb1sh4_A_hinge_0_sigma0.8948929172439201.pdb,0.038255
pdb1sh4_A_hinge_2_sigma0.8948929172439201.pdb,0.035792
pdb2lgh_A_hinge_0_sigma0.8948929172439201.pdb,0.074568
